City,Place,Domestic-2019-20,Foreign-2019-20,Domestic-2020-21,Foreign-2020-21
Agra,Taj Mahal,4429710,645415,1259892,9034
Agra,Agra Fort,1627154,386522,371242,2810
Agra,Fatehpur Sikri,454376,184751,107835,574
Agra,Akbar Tomb Sikandra,229270,19625,99509,321
Agra,Mariam tomb Sikandra,22517,414,9765,31
Agra,Itimad-ud-Daulah-Tomb,132800,82692,41016,410
Agra,Ram Bagh,84051,355,18599,54
Agra,Mehtab Bagh,178574,62325,62652,544
Agra,Mausoleum,474462,12536,91185,321
Total,Total,7632914,1394635,2061695,14099
Lucknow,Site of Sahet mahet,74597,13628,27201,35
Lucknow,Residency Building,116348,3367,57194,37
Lucknow,Piprahwa & Ganwaria,38342,3098,12062,3
Total,Total,229287,20093,96457,75
Jhansi,"Gupta Temple & Varah Temple, Deogarh",1348,32,931,0
Jhansi,Kalinjar Fort,81507,137,80291,27
Jhansi,Rani Lakshmi Bai Mahal,15954,50,5712,5
Jhansi,Rani Jhansi Fort,361294,705,174622,107
Total,Total,460103,924,261556,139
Sarnath,Lord Cornwallis Tomb,18318,85,5289,9
Sarnath,"Old Fort (Shahi Fort), Jaunpur",198922,114,67163,127
Sarnath,Observatory of Man Singh,83059,954,21379,11
Sarnath,Excavated Remains at sarnath,485309,100590,170590,384
Sarnath,Tomb of Lal Khan,6819,9,1972,2
Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,55144,5186,14956,46
Total,Total,847571,106938,281349,579
Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",334846,728,115333,242
Thrissur,mattancherry Palace Museum Kochi,300465,79355,23026,177
Thrissur,"Fort, Palakkad, Palakkad",174589,241,43927,26
Thrissur,"Fort St. Angelo, Kannur",234518,3305,65683,115
Total,Total,1044418,83629,247969,560
Chennai,Group of Monuments Mamallapuram,1260358,53422,808145,29145
Chennai,"Gingee Fort , Gingee",107073,1736,125109,2272
Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",43733,1063,58206,868
Total,Total,1411164,56221,991460,32285
Tiruchirappalli,"Fort on Rock, Dindigual",24657,94,25603,99
Tiruchirappalli,"Moovarkoil, Kodumbalur",19114,46,1476,9
Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",31876,188,41791,235
Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,30046,460,217,3
Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",23928,645,2490,19
Tiruchirappalli,"Fort Museum, Thirumayam",294829,5259,41487,1555
Tiruchirappalli,Fort Vattakottai,159492,340,5058,36
Total,Total,583942,7032,118122,1956
Bhopal,Buddhist Caves,19920,42,23692,0
Bhopal,"The palace situated in the fort, Burhanpur",47305,272,13926,27
Bhopal,Hoshang Shah's Tomb,130094,2017,57769,39
Bhopal,"Group of monument, Royal Palace Mandu",408302,2427,181868,128
Bhopal,Roopmati's Pavilion,392485,1884,148680,91
Bhopal,"Buddhist Monuments, Sanchi",250706,3986,58979,41
Bhopal,Gwalior Fort,255734,7744,101464,130
Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",32578,4,12303,13
Bhopal,"Badal Mahal Gatwway, Chanderi",13708,89,9689,5
Bhopal,Caves 1 t0 20 Udaygiri Vidisha,53546,741,11601,10
Bhopal,Bir Singh Palace Datia,23382,736,14045,12
Total,Total,1627760,19942,634016,496
Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",23354,18,16546,8
Jabalpur,"Western Group of Temples, Khajuraho",244995,41741,128515,275
Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",57408,42,23598,13
Total,Total,325757,41801,168659,296
Dharwad,Durga temple complex Aihole,186767,3849,75089,99
Dharwad,"Jaina & Vaishnava Cave, Badami",372051,6758,172259,167
Dharwad,Group of Monuments (WH) Pattadakal,262144,4310,123110,61
Dharwad,"Gol Gumbaz, Vijayapura",813943,1683,283256,75
Dharwad,"Ibrahim Rauza, Bijapur",155565,1290,57759,12
Dharwad,"Temples & Sculpture Shed, lakkumdi",13019,91,5652,0
Total,Total,1803489,17981,717125,414
Hampi,"Group of Monuments, Hampi",587238,27006,273456,627
Hampi,Bellary Fort,28723,56,11069,9
Total,Total,615961,27062,284525,636
Banglore,Dariya Daulath Bagh,646560,14016,89006,306
Banglore,Keshava Temple,178425,8653,64222,196
Banglore,Palace of Tipu Sultan,256964,10719,38706,270
Banglore,Fortress and Temple Chitrudurga Fort,338340,1095,144862,297
Total,Total,1420289,34483,336796,1069
Raiganj,Cooch Bihar Palace,465553,52,126135,161
Raiganj,Hazarduari Palace,674113,1723,361546,649
Total,Total,1139666,1775,487681,810
Kolkata,Bishnupur Temples,154986,505,117107,237
Kolkata,Metcelf-Hall,605,27,7818,24
Total,Total,155591,532,124925,261
